City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
99,Homer,US,2020-11-28 17:03:18,59.64,-151.55,37.99,93,20,8.05,few clouds
100,Severo-Kurilsk,RU,2020-11-28 17:03:18,50.68,156.12,25.48,90,64,4.72,broken clouds
101,Chumikan,RU,2020-11-28 17:03:18,54.72,135.31,4.71,89,100,13.8,overcast clouds
102,Balkanabat,TM,2020-11-28 17:03:18,39.51,54.37,44.89,58,100,16.55,overcast clouds
103,Havelock,US,2020-11-28 17:00:40,34.88,-76.9,57.99,87,90,5.82,overcast clouds
104,Tilichiki,RU,2020-11-28 17:03:19,60.47,166.1,2.28,91,91,11.07,overcast clouds
105,Vao,NC,2020-11-28 17:03:19,-22.67,167.48,71.78,67,6,14.45,clear sky
106,Alexandria,EG,2020-11-28 17:00:00,31.22,29.96,66.2,63,40,8.05,scattered clouds
107,Mahebourg,MU,2020-11-28 17:03:19,-20.41,57.7,75.2,78,40,12.03,scattered clouds
108,Vardo,NO,2020-11-28 17:03:19,70.37,31.11,33.91,89,100,26.75,overcast clouds
109,Bengkulu,ID,2020-11-28 17:03:19,-3.8,102.27,72.43,92,100,4.81,overcast clouds
110,Yamada,JP,2020-11-28 17:03:19,39.47,141.95,34.09,86,0,4.9,clear sky
111,Azul,AR,2020-11-28 17:00:02,-36.78,-59.86,83.77,45,96,9.55,overcast clouds
112,Shimoda,JP,2020-11-28 17:03:12,34.67,138.95,44.01,71,91,8.37,overcast clouds
113,Inuvik,CA,2020-11-28 17:00:54,68.35,-133.72,5.0,84,63,1.9,broken clouds
114,Kruisfontein,ZA,2020-11-28 17:03:20,-34.0,24.73,63.0,94,91,4.0,light rain
115,Beloha,MG,2020-11-28 17:03:20,-25.17,45.05,74.44,80,57,15.5,broken clouds
116,Rajapolah,ID,2020-11-28 17:03:20,-7.22,108.19,72.21,88,99,0.2,light rain
117,Hualmay,PE,2020-11-28 17:03:20,-11.1,-77.61,72.1,61,71,11.21,broken clouds
118,Paita,PE,2020-11-28 17:03:20,-5.09,-81.11,80.6,57,0,12.75,clear sky
119,Vaini,TO,2020-11-28 17:03:20,-21.2,-175.2,75.2,94,40,5.82,scattered clouds
120,Mar Del Plata,AR,2020-11-28 17:00:00,-38.0,-57.56,84.2,54,90,12.75,overcast clouds
121,Norman Wells,CA,2020-11-28 17:03:21,65.28,-126.83,-18.4,82,40,2.24,scattered clouds
122,Sorland,NO,2020-11-28 17:03:21,67.67,12.69,44.85,86,100,27.92,light rain
123,Nanortalik,GL,2020-11-28 17:03:21,60.14,-45.24,34.54,88,100,15.68,light snow
124,Dongsheng,CN,2020-11-28 17:01:25,39.82,109.98,14.86,95,35,9.78,scattered clouds
125,Hoa Binh,VN,2020-11-28 17:03:21,20.81,105.34,66.2,59,0,10.29,clear sky
126,Berlevag,NO,2020-11-28 17:03:21,70.86,29.09,33.01,90,100,21.41,overcast clouds
127,Ahuimanu,US,2020-11-28 17:03:21,21.44,-157.84,73.99,68,20,6.93,few clouds
128,Alofi,NU,2020-11-28 17:03:21,-19.06,-169.92,75.2,100,100,6.93,light rain
129,Aitape,PG,2020-11-28 17:03:21,-3.14,142.35,78.44,84,100,5.35,moderate rain
130,Aklavik,CA,2020-11-28 17:02:02,68.22,-135.01,5.0,84,84,5.17,broken clouds
131,Nurota,UZ,2020-11-28 17:03:22,40.56,65.69,32.0,92,0,6.93,clear sky
132,Cayenne,GF,2020-11-28 17:00:29,4.93,-52.33,75.2,100,8,9.62,mist
133,Hambantota,LK,2020-11-28 17:03:22,6.12,81.12,78.28,82,100,2.62,overcast clouds
134,Alvorada,BR,2020-11-28 17:03:22,-12.48,-49.12,95.0,36,33,10.16,scattered clouds
135,Mopipi,BW,2020-11-28 17:03:22,-21.18,24.88,85.19,42,30,11.48,scattered clouds
136,Shache,CN,2020-11-28 17:03:22,38.42,77.24,23.83,87,7,4.47,clear sky
137,Filadelfia,US,2020-11-28 17:00:23,39.95,-75.16,57.99,47,75,12.75,broken clouds
138,Kathu,TH,2020-11-28 17:03:23,7.92,98.33,77.0,94,75,3.36,broken clouds
139,Pangnirtung,CA,2020-11-28 17:03:23,66.15,-65.71,21.2,67,90,6.93,overcast clouds
140,Halden,NO,2020-11-28 17:03:23,59.12,11.39,30.2,92,0,1.12,fog
141,Te Anau,NZ,2020-11-28 17:03:23,-45.42,167.72,43.34,88,68,0.85,broken clouds
142,Tura,IN,2020-11-28 17:03:23,25.52,90.22,62.64,68,0,4.07,clear sky
143,Paamiut,GL,2020-11-28 17:03:23,61.99,-49.67,32.31,97,100,17.38,light snow
144,Bud,US,2020-11-28 17:03:24,39.45,-86.18,44.01,68,0,3.4,clear sky
145,Boa Vista,BR,2020-11-28 17:02:58,2.82,-60.67,89.6,52,75,9.17,broken clouds
146,Los Llanos De Aridane,ES,2020-11-28 17:03:24,28.66,-17.92,69.8,60,20,3.36,few clouds
147,Buala,SB,2020-11-28 17:03:24,-8.14,159.59,81.37,74,64,3.51,broken clouds
148,Husavik,IS,2020-11-28 17:03:24,66.04,-17.34,33.8,59,75,11.41,broken clouds
149,Neiafu,TO,2020-11-28 17:03:24,-18.65,-173.98,78.8,88,75,6.93,broken clouds
150,Metro,ID,2020-11-28 17:03:25,-5.11,105.31,74.39,88,68,4.92,broken clouds
151,Ugoofaaru,MV,2020-11-28 17:03:25,5.67,73.0,83.12,62,40,4.99,scattered clouds
152,Itaituba,BR,2020-11-28 17:03:25,-4.28,-55.98,93.2,56,40,10.29,scattered clouds
153,Nhulunbuy,AU,2020-11-28 17:03:25,-12.23,136.77,80.6,74,40,3.09,scattered clouds
154,Altay,CN,2020-11-28 17:03:25,47.87,88.12,19.78,74,83,4.29,broken clouds
155,Verin,ES,2020-11-28 17:03:25,41.94,-7.44,54.0,80,95,3.0,overcast clouds
156,Shirokiy,RU,2020-11-28 17:03:25,49.76,129.52,3.09,92,11,7.9,few clouds
157,Kodiak,US,2020-11-28 17:03:26,57.79,-152.41,32.0,82,20,4.61,few clouds
158,Hofn,IS,2020-11-28 17:03:26,64.25,-15.21,37.49,77,97,11.68,overcast clouds
159,Hami,CN,2020-11-28 17:03:26,42.8,93.45,23.68,80,24,3.49,few clouds
160,Gummidipundi,IN,2020-11-28 17:03:26,13.4,80.15,80.6,94,75,2.24,broken clouds
161,Santa Fe,AR,2020-11-28 17:01:52,-31.63,-60.7,82.99,88,90,21.92,heavy intensity rain
162,Grindavik,IS,2020-11-28 17:03:26,63.84,-22.43,33.8,100,75,10.29,light rain
163,Kaitangata,NZ,2020-11-28 17:03:26,-46.28,169.85,52.0,96,72,1.99,broken clouds
164,Port Macquarie,AU,2020-11-28 17:03:26,-31.43,152.92,64.99,89,95,10.11,overcast clouds
165,Honningsvag,NO,2020-11-28 17:03:26,70.98,25.97,37.81,79,100,22.48,overcast clouds
166,Tshikapa,CD,2020-11-28 17:03:27,-6.42,20.8,73.08,91,100,4.12,light rain
167,Caravelas,BR,2020-11-28 17:03:27,-17.71,-39.25,81.93,64,14,9.24,few clouds
168,Stornoway,GB,2020-11-28 17:03:27,58.21,-6.39,46.4,87,31,9.17,scattered clouds
169,Holme,DK,2020-11-28 17:03:27,56.11,10.17,35.6,100,0,5.82,clear sky
170,Saint-Joseph,RE,2020-11-28 17:03:27,-21.37,55.62,77.0,69,75,9.86,broken clouds
171,Ankang,CN,2020-11-28 17:03:27,32.68,109.02,39.0,54,79,1.99,broken clouds
