City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
399,399,Chuy,UY,2020-11-28 17:03:53,-33.7,-53.46,77.11,73,94,14.16,overcast clouds
403,403,Omboue,GA,2020-11-28 17:03:54,-1.57,9.26,76.68,86,77,6.62,broken clouds
404,404,Faanui,PF,2020-11-28 17:03:54,-16.48,-151.75,80.49,77,2,5.7,clear sky
409,409,Malakal,SS,2020-11-28 17:03:54,9.53,31.66,81.82,19,16,5.3,few clouds
410,410,Grand Gaube,MU,2020-11-28 17:03:54,-20.01,57.66,75.99,76,9,5.99,clear sky
413,413,Owo,NG,2020-11-28 17:03:55,7.2,5.59,85.73,45,50,1.28,scattered clouds
414,414,Kudat,MY,2020-11-28 17:03:55,6.88,116.85,75.2,94,40,3.36,scattered clouds
417,417,Tucupita,VE,2020-11-28 17:03:55,9.06,-62.05,89.06,59,58,4.61,broken clouds
421,421,Port Moresby,PG,2020-11-28 17:03:56,-9.44,147.18,75.2,94,20,3.36,few clouds
423,423,Galle,LK,2020-11-28 16:59:35,6.04,80.22,78.03,82,100,2.73,overcast clouds
434,434,Gizo,SB,2020-11-28 17:03:57,-8.1,156.84,82.65,75,94,3.58,light rain
435,435,Qui Nhon,VN,2020-11-28 17:03:57,13.77,109.23,75.85,92,100,24.07,light rain
439,439,Machaneng,BW,2020-11-28 17:03:58,-23.19,27.49,82.85,47,20,13.13,few clouds
440,440,Kalakamati,BW,2020-11-28 17:03:58,-20.59,27.31,80.6,57,75,8.05,broken clouds
445,445,Vilhena,BR,2020-11-28 17:03:59,-12.74,-60.15,86.0,58,40,6.93,scattered clouds
447,447,Nabire,ID,2020-11-28 17:03:59,-3.37,135.48,76.57,87,96,4.65,light rain
448,448,Kieta,PG,2020-11-28 17:03:59,-6.22,155.63,79.38,80,90,1.77,overcast clouds
450,450,Axim,GH,2020-11-28 17:03:59,4.87,-2.24,81.48,77,85,7.92,overcast clouds
452,452,Santa Clara,CU,2020-11-28 17:00:06,22.4,-79.97,78.8,69,40,6.93,scattered clouds
457,457,Cravo Norte,CO,2020-11-28 17:04:00,6.3,-70.2,82.04,80,98,7.85,moderate rain
464,464,Suwannaphum,TH,2020-11-28 17:04:01,15.6,103.8,75.99,70,21,18.05,few clouds
467,467,Rio Grande,BR,2020-11-28 17:04:01,-32.03,-52.1,82.4,74,90,12.75,overcast clouds
468,468,San Cristobal,VE,2020-11-28 17:04:02,7.77,-72.22,84.2,70,40,4.7,scattered clouds
470,470,Salalah,OM,2020-11-28 17:04:02,17.02,54.09,78.8,65,40,3.36,scattered clouds
473,473,Mecca,SA,2020-11-28 17:04:02,21.43,39.83,75.0,57,56,9.46,broken clouds
474,474,Pitimbu,BR,2020-11-28 17:04:02,-7.47,-34.81,86.0,58,40,18.34,scattered clouds
475,475,Dhidhdhoo,MV,2020-11-28 17:04:02,6.88,73.1,83.14,62,18,2.46,few clouds
477,477,Malanville,BJ,2020-11-28 17:04:03,11.87,3.39,88.43,27,0,2.15,clear sky
482,482,El Cope,PA,2020-11-28 17:04:03,8.62,-80.6,86.0,70,40,9.17,scattered clouds
485,485,Hatillo,PR,2020-11-28 17:04:03,18.49,-66.83,84.0,74,75,8.05,broken clouds
487,487,Oriximina,BR,2020-11-28 17:04:04,-1.77,-55.87,89.65,55,82,6.42,broken clouds
488,488,Agadez,NE,2020-11-28 17:04:04,19.75,10.25,77.32,19,0,8.61,clear sky
489,489,Kuching,MY,2020-11-28 17:04:04,1.55,110.33,75.2,94,40,2.24,moderate rain
492,492,Trairi,BR,2020-11-28 17:02:54,-3.28,-39.27,87.62,53,82,16.89,broken clouds
493,493,Massakory,TD,2020-11-28 17:04:04,13.0,15.73,80.78,16,7,9.69,clear sky
495,495,Sambava,MG,2020-11-28 17:04:05,-14.27,50.17,76.19,80,0,7.09,clear sky
496,496,Port-Gentil,GA,2020-11-28 17:04:05,-0.72,8.78,84.2,74,20,8.05,few clouds
497,497,Kavaratti,IN,2020-11-28 17:04:05,10.57,72.64,82.83,68,68,7.07,broken clouds
503,503,Puerto Escondido,MX,2020-11-28 17:00:16,15.85,-97.07,84.2,70,5,5.82,clear sky
505,505,Kidal,ML,2020-11-28 17:01:12,18.44,1.41,81.91,15,3,8.12,clear sky
506,506,Mana,GF,2020-11-28 17:04:06,5.66,-53.78,83.35,78,12,9.26,few clouds
507,507,Vila Velha,BR,2020-11-28 17:04:06,-20.33,-40.29,82.99,69,40,10.29,scattered clouds
517,517,Joao Pinheiro,BR,2020-11-28 17:04:07,-17.74,-46.17,80.17,57,33,7.31,scattered clouds
520,520,Talara,PE,2020-11-28 17:00:12,-4.58,-81.27,80.6,57,0,12.75,clear sky
522,522,Gao,ML,2020-11-28 17:01:36,16.64,1.64,86.81,14,15,6.93,few clouds
528,528,Madang,PG,2020-11-28 17:04:09,-5.22,145.8,75.34,92,100,6.44,heavy intensity rain
